"id","type","model","model_id","site_id","content_id","content_filter_id","lft","rght","title","detail","url","status","priority","created","modified"
"1","ページ","Page","1","0","5","","8","9","タイトルを入力してください。","ABOUTテキストが入りますテキストが入りますテキストが入りますテキストが入りますテキストが入りますテキストが入りますテキストが入りますテキストが入りますテキストが入りますテキストが入りますテキストが入りますテキストが入りますテキストが入りますテキストが入りますテキストが入りますテキストが入りますテキストが入りますテキストが入りますテキストが入りますテキストが入りますテキストが入りますテキストが入りますMORE","/index","1","0.5","2018-05-13 10:03:29","2018-05-13 10:03:29"
"2","ページ","Page","2","0","6","","10","11","会社案内","会社案内ページ 会社案内会社データ会社名baserCMS inc. [デモ]設立2009年11月所在地福岡県福岡市博多区博多駅前（ダミー）事業内容インターネットサービス業（ダミー）WEBサイト制作事業（ダミー）WEBシステム開発事業（ダミー）アクセスマップ","/about","1","0.5","2018-05-13 10:03:29","2018-05-13 10:03:29"
"3","ページ","Page","3","0","7","","7","8","サービス","サービス紹介ページ サービスサービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。","/service/index","1","0.5","2018-05-13 10:03:29","2018-05-13 10:03:29"
"4","ページ","Page","4","0","8","","9","10","サービス1","サービス紹介1のページ サービス1サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。 サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。","/service/service1","1","0.5","2018-05-13 10:03:29","2018-05-13 10:03:29"
"5","ページ","Page","5","0","9","","16","17","サイトマップ","baserCMS inc.のサイトマップページ サイトマップトップページサービスサービス1タイトルを入力してください。会社案内サイトマップ実績新着情報ブログお問い合わせ","/sitemap","1","0.5","2018-05-13 10:03:30","2018-05-13 10:03:30"
"6","ページ","Page","6","0","10","","3","4","タイトルを入力してください。","メインメニュー ■ニュースリリース■お問い合わせ NEWS RELEASE 記事がありません。 &nbsp; baserCMS NEWS  2018.05.10「ratio_3_2(4系)」テーマがリリースされました 2018.04.27気軽に参加お待ちしています！「baserCMSミートアップ vol.1」開催！ 2018.04.26baserCMS３のサポート期限について 2018.04.26「bootstrap4-skelton」テーマがリリースされました 2018.04.20「dubmilli」テーマがアップデートされました","/m/index","","0.5","2018-05-13 10:03:31","2018-05-13 10:03:31"
"7","ページ","Page","7","0","11","","7","8","タイトルを入力してください。","NEWS RELEASE記事がありません。baserCMS NEWS","/s/index","","0.5","2018-05-13 10:03:31","2018-05-13 10:03:31"
"8","ページ","Page","8","0","12","","9","10","会社案内","baserCMS inc.の会社案内ページ 会社案内会社データ会社名baserCMS inc.  [デモ]設立2009年11月所在地福岡県福岡市博多区博多駅前（ダミー）事業内容インターネットサービス業（ダミー）WEBサイト制作事業（ダミー）WEBシステム開発事業（ダミー）アクセスマップ","/s/about","","0.5","2018-05-13 10:03:31","2018-05-13 10:03:31"
"9","ページ","Page","9","0","13","","11","12","サービス","baserCMS inc.のサービス紹介ページ。 サービスサービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。サービスの案内文がはいります。","/s/service","","0.5","2018-05-13 10:03:32","2018-05-13 10:03:32"
"10","ページ","Page","10","0","14","","13","14","サイトマップ","baserCMS inc.のサイトマップページ サイトマップサービスサービス1タイトルを入力してください。会社案内サイトマップ新着情報お問い合わせ","/s/sitemap","","0.5","2018-05-13 10:03:32","2018-05-13 10:03:32"
